0.00,0.00,17.50
10.00,0.00,27.50
20.00,0.00,72.50
30.00,0.00,117.50
40.00,0.00,182.50
50.00,0.00,227.50
60.00,0.00,272.50
70.00,0.00,280.00
80.00,0.00,382.50
90.00,0.00,425.00
100.00,0.00,465.00
100.00,10.00,432.50
90.00,10.00,392.50
80.00,10.00,335.00
70.00,10.00,272.50
60.00,10.00,232.50
50.00,10.00,177.50
40.00,10.00,140.00
30.00,10.00,77.50
20.00,10.00,62.50
10.00,10.00,-30.00
0.00,10.00,-45.00
0.00,20.00,-85.00
10.00,20.00,-52.50
20.00,20.00,-10.00
30.00,20.00,32.50
40.00,20.00,92.50
50.00,20.00,137.50
60.00,20.00,185.00
70.00,20.00,230.00
80.00,20.00,297.50
90.00,20.00,350.00
100.00,20.00,390.00
100.00,30.00,360.00
90.00,30.00,322.50
80.00,30.00,267.50
70.00,30.00,215.00
60.00,30.00,142.50
50.00,30.00,135.00
40.00,30.00,72.50
30.00,30.00,25.00
20.00,30.00,-22.50
10.00,30.00,-67.50
0.00,30.00,-105.00
0.00,40.00,-140.00
10.00,40.00,-92.50
20.00,40.00,-77.50
30.00,40.00,-10.00
40.00,40.00,27.50
50.00,40.00,72.50
60.00,40.00,130.00
70.00,40.00,190.00
80.00,40.00,230.00
90.00,40.00,292.50
100.00,40.00,302.50
100.00,50.00,302.50
90.00,50.00,272.50
80.00,50.00,195.00
70.00,50.00,157.50
60.00,50.00,100.00
50.00,50.00,67.50
40.00,50.00,12.50
30.00,50.00,-30.00
20.00,50.00,-65.00
10.00,50.00,-102.50
0.00,50.00,-145.00
0.00,60.00,-167.50
10.00,60.00,-137.50
20.00,60.00,-92.50
30.00,60.00,-57.50
40.00,60.00,-17.50
50.00,60.00,27.50
60.00,60.00,82.50
70.00,60.00,120.00
80.00,60.00,172.50
90.00,60.00,232.50
100.00,60.00,275.00
100.00,70.00,262.50
90.00,70.00,225.00
80.00,70.00,157.50
70.00,70.00,112.50
60.00,70.00,65.00
50.00,70.00,12.50
40.00,70.00,-27.50
30.00,70.00,-85.00
20.00,70.00,-130.00
10.00,70.00,-175.00
0.00,70.00,-200.00
0.00,80.00,-212.50
10.00,80.00,-180.00
20.00,80.00,-155.00
30.00,80.00,-100.00
40.00,80.00,-80.00
50.00,80.00,-47.50
60.00,80.00,27.50
70.00,80.00,90.00
80.00,80.00,137.50
90.00,80.00,187.50
100.00,80.00,237.50
100.00,90.00,217.50
90.00,90.00,167.50
80.00,90.00,127.50
70.00,90.00,72.50
60.00,90.00,30.00
50.00,90.00,-32.50
40.00,90.00,-97.50
30.00,90.00,-130.00
20.00,90.00,-180.00
10.00,90.00,-220.00
0.00,90.00,-260.00
0.00,100.00,-262.50
10.00,100.00,-230.00
20.00,100.00,-202.50
30.00,100.00,-165.00
40.00,100.00,-122.50
50.00,100.00,-85.00
60.00,100.00,-22.50
70.00,100.00,50.00
80.00,100.00,90.00
90.00,100.00,140.00
100.00,100.00,180.00
